recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R2144,73,7050,kp,pink,357 Royal,335 Royal,,,,,,Jeetubhai Images\OS New folder (7) Images\7050 KP 250.JPG,,high
R2145,73,7050,kp,yellow,189 Raj,333 Royal,,,,,,Jeetubhai Images\OS New folder (7) Images\7050 KP 250.JPG,,medium
R2146,73,7052,kp,green,190 Raj,410 Royal,63 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7052 KP 250.JPG,,high
R2147,73,7052,kp,orange,190 Raj,82 Raj,732 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7052 KP 250.JPG,,high
R2148,73,7052,kp,yellow,190 Raj,105 L Raj,189 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7052 KP 250.JPG,,high
R2149,73,7090,kp,green,838 Raj,190 Raj,49 L Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7090 KP 200.JPG|Jeetubhai Images\OS New folder (7) Images\7090 KP 400.BMP,,high
R2150,73,7090,kp,orange,,190 Raj,49 L Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7090 KP 200.JPG|Jeetubhai Images\OS New folder (7) Images\7090 KP 400.BMP,,medium
R2151,73,7090,kp,pink,82 Raj,190 Raj,49 L Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7090 KP 200.JPG|Jeetubhai Images\OS New folder (7) Images\7090 KP 400.BMP,,high
R2152,73,8063,kp,green,104 N Raj,719 Royal,M Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8063 KP 400.BMP,,high
R2153,73,8063,kp,maroon,834 DD Raj,104 N Raj,768 D Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8063 KP 400.BMP,,high
R2154,73,8063,kp,orange,74 N Raj,782 Royal,731 D Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8063 KP 400.BMP,,high
R2164,74,5032,neck+border,green,235 Royal,123 Raj,339 Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5032 Kurta patti.BMP,,high
R2165,74,5032,neck+border,orange,90 N Royal,123 Raj,705 Raj,,,,,Jeetubhai Images\OS New folder (5) Images\5032 Kurta patti.BMP,LG,high
R2166,74,5032,neck+border,pink,82 Raj,123 Raj,78 Royal,,,,,Jeetubhai Images\OS New folder (5) Images\5032 Kurta patti.BMP,,high
