design_no,part_raw,part_clean,image_path,filename
1240,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1240 Border 200.JPG,1240 Border 200.JPG
1240,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1240 Neck 400.JPG,1240 Neck 400.JPG
1241,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1241 Astin 400.JPG,1241 Astin 400.JPG
1241,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1241 Neck 400.JPG,1241 Neck 400.JPG
1242,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1242 Astin 400.JPG,1242 Astin 400.JPG
1242,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1242 Neck 400.JPG,1242 Neck 400.JPG
1243,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1243 Astin 400.JPG,1243 Astin 400.JPG
1243,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1243 Neck 400.JPG,1243 Neck 400.JPG
1244,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1244 Astin 400.JPG,1244 Astin 400.JPG
1244,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1244 Neck 400.JPG,1244 Neck 400.JPG
1245,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1245 Astin 400.JPG,1245 Astin 400.JPG
1245,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1245 Neck 400.JPG,1245 Neck 400.JPG
1246,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1246 Neck 400.JPG,1246 Neck 400.JPG
1247,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1247 Border 200.JPG,1247 Border 200.JPG
1247,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1247 Neck 400.JPG,1247 Neck 400.JPG
1248,Border 500,Border,Jeetubhai Images\OS New folder (12) Images\1248 Border 500.JPG,1248 Border 500.JPG
1248,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1248 Neck 400.JPG,1248 Neck 400.JPG
1248,border  250,border,Jeetubhai Images\OS New folder (12) Images\1248 border  250.JPG,1248 border  250.JPG
1249,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1249 Border 200.JPG,1249 Border 200.JPG
1249,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1249 Neck 400.JPG,1249 Neck 400.JPG
1250,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1250 Border 200.JPG,1250 Border 200.JPG
1250,Border 250,Border,Jeetubhai Images\OS New folder (12) Images\1250 Border 250.JPG,1250 Border 250.JPG
1250,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1250 Neck 400.JPG,1250 Neck 400.JPG
