recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R2114,72,8069,center panel+border+neck,,707 Raj,710 Royal,932 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8069 Border 250.BMP|Jeetubhai Images\OS New folder (8) Images\8069 Neck 250.BMP|Jeetubhai Images\OS New folder (8) Images\8069 Neck.BMP,,high
R2115,72,8069,center panel+border+neck,,929 Raj,710 Royal,63 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8069 Border 250.BMP|Jeetubhai Images\OS New folder (8) Images\8069 Neck 250.BMP|Jeetubhai Images\OS New folder (8) Images\8069 Neck.BMP,,high
R2116,72,8070,border+neck,,190 Raj,88 N Royal,104 Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8070 Border 250.BMP|Jeetubhai Images\OS New folder (8) Images\8070 Neck.BMP,,high
R2117,72,8070,border+neck,,190 Raj,937 D Raj,74 N Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8070 Border 250.BMP|Jeetubhai Images\OS New folder (8) Images\8070 Neck.BMP,,high
R2118,72,8070,border+neck,,702 Raj,342 DR Raj,112 N Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8070 Border 250.BMP|Jeetubhai Images\OS New folder (8) Images\8070 Neck.BMP,,high
R2119,72,8071,border+neck,,342 DR Raj,103 Royal,187 Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8071 Border 250.BMP|Jeetubhai Images\OS New folder (8) Images\8071 Neck.BMP,,high
R2120,72,8071,border+neck,,366 Raj,362 R Raj,363 Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8071 Border 250.BMP|Jeetubhai Images\OS New folder (8) Images\8071 Neck.BMP,,high
R2121,72,8071,border+neck,,710 D Raj,75 N Raj,61 N Royal,,,,jari,Jeetubhai Images\OS New folder (8) Images\8071 Border 250.BMP|Jeetubhai Images\OS New folder (8) Images\8071 Neck.BMP,,high
R2125,72,8075,kp,,102 D Royal,34 S Royal,342 DR Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8075 KP 400.BMP,Yellow-165,high
R2126,72,8075,kp,,102 D Royal,34 S Royal,74 N Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8075 KP 400.BMP,Blue-172,high
R2127,72,8075,kp,,102 D Royal,34 S Royal,936 Raj,,,,jari,Jeetubhai Images\OS New folder (8) Images\8075 KP 400.BMP,Green-170,high
R2132,73,4097,neck+border,,35 D Royal,17 N Royal,779 Royal,118 Royal,414 Royal,,,Jeetubhai Images\OS New folder (4) Images\4097 Neck Seq.BMP,,high
R2133,73,4097,neck+border,,779 Royal,414 Royal,6 Royal,118 Royal,23 Raj,,,Jeetubhai Images\OS New folder (4) Images\4097 Neck Seq.BMP,,high
R2135,73,5000,neck+jod+border,,35 D Royal,17 N Royal,118 Royal,779 Royal,414 Royal,,,Jeetubhai Images\OS New folder (4) Images\5000 Neck.BMP,,high
